passenger_id,first_name,middle_name,last_name,gender,passenger_type,dob,seat_number,meal_preference,ticket_number,pnr,return_seat_number
1,Smith,NULL,Jones,M,ADT,1970-12-02,30,ANY,RTWQSD0001,RTWQSD,0
2,Sara,NULL,Lin,F,ADT,1996-10-10,28,VEG,BACDAB1101,BACDAB,0
3,Oliver,NULL,Lin,M,ADT,1990-12-10,29,VEG,BACDAB1102,BACDAB,0
4,Sara,NULL,Lin,F,ADT,1996-10-10,28,VEG,DDEDAA1101,DDEDAA,0
5,Oliver,NULL,Lin,M,ADT,1990-12-10,29,VEG,DDEDAA1102,DDEDAA,0
6,Tom,NULL,Lin,M,CHD,2006-11-05,30,ANY,DDEDAA1103,DDEDAA,0
7,John,NULL,Thomas,M,ADT,1986-05-10,18,VEG,DEBFAB1101,DEBFAB,0
8,Sam,NULL,Brook,F,ADT,1993-10-10,28,VEG,AEDECF1101,AEDECF,0
9,Sara,NULL,Lin,F,ADT,1996-10-10,0,NULL,DBCDFD1101,DBCDFD,0
10,passenger0,NULL,last0,M,ADT,2021-11-22,0,NULL,DBCDFD1102,DBCDFD,0
11,Oliver,NULL,Twist,M,ADT,1996-10-10,0,NULL,BFCEAD1101,BFCEAD,0
12,passenger0,NULL,last0,M,ADT,2021-11-22,0,NULL,BFCEAD1102,BFCEAD,0
13,passenger0,NULL,last0,M,CHD,2021-11-22,0,NULL,BFCEAD1103,BFCEAD,0
14,Abc,NULL,Test,M,ADT,1998-10-12,0,NULL,AECDAB1101,AECDAB,0
15,New,NULL,Test,F,ADT,1998-10-12,0,NULL,BCEEAD1101,BCEEAD,0
16,Ticket,NULL,Test,M,ADT,1998-10-12,0,NULL,DDDEFD1101,DDDEFD,0
17,Ram,NULL,Kishore,M,ADT,1998-10-12,0,NULL,FACAAA1101,FACAAA,0
18,Abc,NULL,Test,M,ADT,1998-10-12,0,NULL,EDBABB1101,EDBABB,0
19,Smith,NULL,Jones,M,ADT,1998-10-12,0,NULL,CCBFDF1101,CCBFDF,0
20,Smith,NULL,Jones,M,ADT,1998-10-12,0,NULL,AFDAFB1101,AFDAFB,0
